t,x
17.05,1.4614080346730933
17.06,1.5458819261645225
17.07,1.4732014476615203
17.080000000000002,1.4712548187053707
17.09,1.3432984702869422
17.1,1.1990384524678999
17.11,1.1831699634369754
17.12,1.3352891460217216
17.13,1.4265111402317703
17.14,1.4455657522621927
17.150000000000002,1.4796494035254688
17.16,1.4403008162944264
17.17,1.4716359752713468
17.18,1.4902408192858934
17.19,1.5316912381187253
17.2,1.509448152292523
17.21,1.5145283513951386
17.22,1.5506105002575918
17.23,1.5434385385154643
17.240000000000002,1.6021670210419967
17.25,1.60231249831061
17.26,1.7535247276923733
17.27,1.6971410361577643
17.28,1.5997267467307563
17.29,1.431175036479871
17.3,1.4274371269665043
17.31,1.5349400646633846
17.32,1.444071580876772
17.330000000000002,1.4736296103279918
17.34,1.4307330851408193
17.35,1.3765790681134424
17.36,1.498346725961914
17.37,1.577075129543194
17.38,1.5714868115972047
17.39,1.6355266159848703
17.400000000000002,1.500318958030176
17.41,1.5281282623909451
17.42,1.4551835381589495
17.43,1.5645523219325734
17.44,1.4640557177719091
17.45,1.4762094239444812
17.46,1.6166869522542875
17.47,1.7319451890123143
17.48,1.8210610622289989
17.490000000000002,1.7874693898128609
17.5,1.9157004702915548
17.51,1.8692084326062353
17.52,1.8789680656025387
17.53,2.0011013731481513
17.54,2.0233167174804754
17.55,2.045557027028974
17.56,2.1275799597936187
17.57,2.0299810158857263
17.580000000000002,1.9402520218018307
17.59,1.9368226773424715
17.6,1.874127533884712
17.61,1.661133605561076
17.62,1.7954611971323209
17.63,1.765387138944807
17.64,1.6472614304836564
17.650000000000002,1.781725987868665
17.66,1.819532722440746
17.67,1.7912112496773813
17.68,1.6716892274910493
17.69,1.734185037816954
17.7,1.8140534584530135
17.71,1.7122195892364331
17.72,1.7020145780008298
17.73,1.913430846009478
17.740000000000002,1.7759728441577216
17.75,1.8307118400691713
17.76,1.8275614560431717
17.77,1.7773690119237515
17.78,1.7378367607879037
17.79,1.8129579826024582
17.8,1.9044122860700268
17.81,1.9804005165570049
17.82,1.836345585224485
17.830000000000002,1.8822032545492966
17.84,1.877537037576663
17.85,1.8677515629905215
17.86,1.878279743150228
17.87,1.868574606788506
17.88,1.881622719311995
17.89,1.7749788387311405
17.900000000000002,1.7782147591376032
17.91,1.819344899266341
17.92,1.719482274052132
17.93,1.7610629830039448
17.94,1.880253586334798
17.95,1.9070168056775612
17.96,1.923284976094113
17.97,1.9869368630083235
17.98,2.014171354890469
17.990000000000002,2.2127207395215134
18.0,2.3961503161062416
18.01,2.4659657004375504
18.02,2.614249359836802
18.03,2.610574557450458
18.04,2.6092206955673998
18.05,2.5687354833191898
18.06,2.5910683369220324
18.07,2.477848736568692
18.080000000000002,2.3952436864602875
18.09,2.4550064438946992
18.1,2.5428014227679263
18.11,2.4397479708205756
18.12,2.3697535238223626
18.13,2.3400002299928704
18.14,2.291070516690455
18.150000000000002,2.2241301876964448
18.16,2.1983398244935377
18.17,2.1154527109294547
18.18,2.2242226501583557
18.19,2.1236719675290545
18.2,2.0932789103114953
18.21,2.0992682225590045
18.22,1.9398873581156866
18.23,2.0471345039382083
18.240000000000002,2.0326006992600862
18.25,2.032450103867898
18.26,1.9333840560500737
18.27,1.968210136565114
18.28,2.0680276295000994
18.29,2.1223415895793583
18.3,2.1229696095683903
18.31,2.1879181910038463
18.32,2.201403713259753
18.330000000000002,2.137713284542126
18.34,2.0684782109431206
18.35,2.0041049302026503
18.36,2.069782610543119
18.37,2.109647504282429
18.38,2.2602350426499207
18.39,2.1838032461480954
18.400000000000002,2.1556469935431
18.41,2.1219002330681493
18.42,2.247440547828154
18.43,2.2161594110441816
18.44,2.2699181585843102
18.45,2.2287591907431845
18.46,2.1427639105225587
18.47,2.2194600431883122
18.48,2.297789901668244
18.490000000000002,2.4437926824930862
18.5,2.410020148486543
18.51,2.3748610919782553
18.52,2.489931040642671
18.53,2.642639527686968
18.54,2.4935211037919376
18.55,2.517060767752319
18.56,2.4536822010278017
18.57,2.317669200993435
18.580000000000002,2.280819703193141
18.59,2.289750848764091
18.6,2.2929618978820225
18.61,2.2445898079321345
18.62,2.2277336341648777
18.63,2.234918581247134
18.64,2.2407834548268015
18.650000000000002,2.346695878294407
18.66,2.41238351901165
18.67,2.492991297369803
18.68,2.4435343666922362
18.69,2.517870338678462
18.7,2.514307664671226
18.71,2.451569817994157
18.72,2.437469210796914
18.73,2.3286113190996467
18.740000000000002,2.476513987529141
18.75,2.508221044623237
18.76,2.38666786243623
18.77,2.319063551280612
18.78,2.3228266484515045
18.79,2.2613261005285614
18.8,2.263346085368871
18.81,2.2053774248996554
18.82,2.3442762495576206
18.830000000000002,2.3382202765275526
18.84,2.3839097399433444
18.85,2.355431240882479
18.86,2.500181445189716
18.87,2.393869177036517
18.88,2.4045521465024153
18.89,2.388895604747242
18.900000000000002,2.30630290283868
18.91,2.2740701457673693
18.92,2.359251791639926
18.93,2.4536775924835346
18.94,2.5287089649398222
18.95,2.469992262242157
18.96,2.4804003042966247
18.97,2.3634490331160474
18.98,2.2201441750582926
18.990000000000002,2.2808574341084884
19.0,2.352594516952849
19.01,2.3826240843007405
19.02,2.307045122572321
19.03,2.309493255003755
19.04,2.2774975728377145
19.05,2.1297486077074854
19.06,1.9594087407392426
19.07,1.9704111447038712
19.080000000000002,1.9557580447467728
19.09,1.9880478586248314
19.1,1.8993039330003747
19.11,1.820483418883836
19.12,1.9191053735932009
19.13,1.9759454008195692
19.14,1.7121763613713368
19.150000000000002,1.6450907557999588
19.16,1.650471679381375
19.17,1.6655107034318573
19.18,1.6572114146786374
19.19,1.7045684760118347
19.2,1.728205436606137
19.21,1.7458564864722028
19.22,1.8515549704927523
19.23,1.7964526506548282
19.240000000000002,1.811910966546069
19.25,1.7675308284781925
19.26,1.7555847497373023
19.27,1.7387860422205725
19.28,1.8535081926768824
19.29,1.9032007172978789
19.3,1.8412072754104212
19.31,1.8827844276310466
19.32,1.6694088708486428
19.330000000000002,1.7110152797174316
19.34,1.765538111873517
19.35,1.718709154377739
19.36,1.6948472962010979
19.37,1.749623140046847
19.38,1.8934153425368652
19.39,2.0056467338935455
19.400000000000002,2.0382582748019082
19.41,2.009514431577604
19.42,1.9739470297970934
19.43,1.970857415183696
19.44,2.022459598127033
19.45,2.144423557947577
19.46,2.14464389462676
19.47,2.1573667569604096
19.48,2.118845414267929
19.490000000000002,2.143538209471266
19.5,2.2527493246891725
19.51,2.1826982640471906
19.52,2.1152745914406976
19.53,2.0930594945900483
19.54,2.226630089853445
19.55,2.330262692980313
19.56,2.3197650060573176
19.57,2.283775538234697
19.580000000000002,2.092742793021975
19.59,2.11442109728192
19.6,2.161479855529726
19.61,2.079984697486483
19.62,2.0939833165479462
19.63,2.0824003328683265
19.64,1.930310102691764
19.650000000000002,1.7578679137684023
19.66,1.7642601770151287
19.67,1.8356929253714904
19.68,1.8033260839191236
19.69,1.8451213254196805
19.7,1.8303576261615648
19.71,1.8998715152236083
19.72,1.9740401032453434
19.73,1.9953745048289018
19.740000000000002,1.9589463640061586
19.75,1.9204125372028187
19.76,1.9099738972373876
19.77,1.9052401735184936
19.78,1.911748631732263
19.79,1.8881536628758004
19.8,1.8820602529676556
19.81,2.0321831279323708
19.82,2.0195891017154843
19.830000000000002,1.9563257566965486
19.84,1.8429735553136464
19.85,1.9975707987663973
19.86,2.104928176596806
19.87,1.8949828994895337
19.88,1.9223371000984213
19.89,2.012939642595609
19.900000000000002,2.0340513947800254
19.91,2.0907459171533547
19.92,2.211611142184915
19.93,2.1352124877558496
19.94,2.2590064791417594
19.95,2.178027258759758
19.96,2.2451013419718464
19.97,2.3302781068341143
19.98,2.3111578778879185
19.990000000000002,2.231120016642379
20.0,2.293458957772307
20.01,2.284650434459497
20.02,2.332202515193854
20.03,2.3595434662822914
20.04,2.3627127996283424
20.05,2.26843842557041
20.06,2.3141324288852334
20.07,2.314557405425805
20.080000000000002,2.4084784774819767
20.09,2.3885272608046693
20.1,2.382268878757005
20.11,2.5416544158113945
20.12,2.435188245426785
20.13,2.376456040732453
20.14,2.385328717498426
20.150000000000002,2.5190214937285003
20.16,2.423099297386417
20.17,2.440140548400048
20.18,2.5849145315717896
20.19,2.522550499837351
20.2,2.515660999593017
20.21,2.3773160229321473
20.22,2.5022612626532696
20.23,2.4779109054146597
20.240000000000002,2.4180957775816005
20.25,2.419221814181005
20.26,2.4689965331973847
20.27,2.6365667573873677
20.28,2.5722171213295244
20.29,2.7282705286502775
20.3,2.63688454652723
20.31,2.632998178936228
20.32,2.693490469440358
20.330000000000002,2.6923680457181636
20.34,2.5923822485135486
20.35,2.5514729514459806
20.36,2.455582258968605
20.37,2.6153997573082943
20.38,2.6819510537897924
20.39,2.472366072064217
20.400000000000002,2.609470245858989
20.41,2.499940157542922
20.42,2.571714887037814
20.43,2.4809824683266264
20.44,2.503278389283044
20.45,2.507811112783009
20.46,2.5050913849821193
20.47,2.4862727007076315
20.48,2.572241369825541
20.490000000000002,2.6509150139089566
20.5,2.7879579065065943
20.51,2.80731832825418
20.52,2.7165330612086285
20.53,2.7316009167782345
20.54,2.735293983865205
20.55,2.6640301810605997
20.56,2.6728025900655012
20.57,2.657616276739835
20.580000000000002,2.616789665993071
20.59,2.5983055743448977
20.6,2.5271855611044316
20.61,2.4394055010241162
20.62,2.3040105776296262
20.63,2.365016814415242
20.64,2.4212702685523673
20.650000000000002,2.3902459785035135
20.66,2.4238840505100234
20.67,2.4579908852208376
20.68,2.3545829423767897
20.69,2.2957608584154974
20.7,2.2495627693580715
20.71,2.3547868681354758
20.72,2.313244606095367
20.73,2.2303018739388865
20.740000000000002,2.3026178139927214
20.75,2.3216422297851524
20.76,2.197098507050299
20.77,2.0631208398342107
20.78,1.9090813162762998
20.79,1.8491826864601901
20.8,1.6934572176687086
20.81,1.763108209598238
20.82,1.8212379221166077
20.830000000000002,1.8345813445045869
20.84,1.8140727573594113
20.85,1.6985981985729222
20.86,1.7674893829761773
20.87,1.7440493300227131
20.88,1.6246450960605268
20.89,1.5177315682872972
20.900000000000002,1.5959189155542954
20.91,1.5427483798889563
20.92,1.514918430134004
20.93,1.5002321580442481
20.94,1.398041668129526
20.95,1.2757333769003014
20.96,1.2484828563264214
20.97,1.3105799169446921
20.98,1.3261982827816914
20.990000000000002,1.4635033276847345
21.0,1.6329187614061924
21.01,1.7145647213004396
21.02,1.765118555398377
21.03,1.8880314981526936
21.04,1.8967272967401354
21.05,1.9338766454819178
21.06,1.8342160738888103
21.07,1.726425551911626
21.080000000000002,1.7697719084517205
21.09,1.7667402738606606
21.1,1.7528381883039912
21.11,1.664866289563652
21.12,1.6497678781248903
21.13,1.8156850543329717
21.14,1.950275350311165
21.150000000000002,1.9345161185581965
21.16,2.022019463924094
21.17,2.118307126714775
21.18,2.1338498151569416
21.19,2.1016534182702227
21.2,2.010260600126092
21.21,1.9652130759441173
21.22,1.9295951847326323
21.23,1.8260350729849864
21.240000000000002,1.825317872667542
21.25,1.8787908298627256
21.26,1.8252362238689575
21.27,1.7629718680243696
21.28,1.8192440500305829
21.29,1.812353953065441
21.3,1.8649980033673852
21.31,1.870216249182028
21.32,1.9169482946182452
21.330000000000002,1.8953331280714165
21.34,1.7970690379108958
21.35,1.8379456703569894
21.36,1.832875725518846
21.37,1.8427995943076019
21.38,1.9075482243363022
21.39,1.8961095131867371
21.400000000000002,1.9038609337318717
21.41,1.920646812925032
21.42,1.8645581391434438
21.43,1.8323907264646193
21.44,1.7471804280535759
21.45,1.78379651679759
21.46,1.7781814301136118
21.47,1.6648034338499746
21.48,1.6660988376555073
21.490000000000002,1.6859646159449964
21.5,1.6660717625527242
21.51,1.6772324782274688
21.52,1.6961491962028883
21.53,1.5686588282800655
21.54,1.6987866294641663
21.55,1.4976529860844396
21.56,1.435659186037282
21.57,1.5475528440449198
21.580000000000002,1.535338716454881
21.59,1.4274015193808853
21.6,1.3264825791827257
21.61,1.3954878555478056
21.62,1.3847283891801743
21.63,1.3951263349267466
21.64,1.3667065220409644
21.650000000000002,1.3497475071926777
21.66,1.3691509691790962
21.67,1.3248114657547823
21.68,1.3658422528289031
21.69,1.4296130547792545
21.7,1.4535812544816427
21.71,1.495440216794368
21.72,1.5710602245991965
21.73,1.606288908498872
21.740000000000002,1.6255301484170948
21.75,1.5813125641835217
21.76,1.3981498705934188
21.77,1.4482141218771314
21.78,1.4194755659137321
21.79,1.4816010577786551
21.8,1.5827093847044478
21.81,1.5803543595133698
21.82,1.6790781080858461
21.830000000000002,1.6029283075486824
21.84,1.6176850773114857
21.85,1.477873632248139
21.86,1.3234396072167183
21.87,1.3723371978536696
21.88,1.4366073089519749
21.89,1.4808743910639497
21.900000000000002,1.3902658812098427
21.91,1.4927751029965899
21.92,1.4576530761155728
21.93,1.4999193290358723
21.94,1.6262107954254292
21.95,1.5027160815034284
21.96,1.4358450562639806
21.97,1.4019462030856324
21.98,1.3859211137329295
21.990000000000002,1.2946871263177713
22.0,1.28525517367437
22.01,1.4541670070054271
22.02,1.465003115620266
22.03,1.6383952318643609
22.04,1.717795177512712
22.05,1.746261691578942
22.06,1.924599484849048
22.07,1.972481806397625
22.080000000000002,1.9562410769267105
22.09,1.767918558409758
22.1,1.6485522401811656
22.11,1.633264642485274
22.12,1.68440348220086
22.13,1.7489728771873532
22.14,1.866426381321065
22.150000000000002,1.8836366848302204
22.16,2.018747025584001
22.17,2.0474299661296516
22.18,2.065930586691224
22.19,2.0578463655354406
22.2,2.082252876887582
22.21,1.9213016281284427
22.22,2.097881150189915
22.23,2.129929752781915
22.240000000000002,2.0393398945736454
22.25,1.9254215992615142
22.26,1.9310682436590156
22.27,1.928298598137192
22.28,1.9328080961121714
22.29,1.8033573015473587
22.3,1.9175446552543673
22.31,1.8610379750195012
22.32,1.770346191862027
22.330000000000002,1.6881438480028252
22.34,1.7184043029563065
22.35,1.6743914904822077
22.36,1.657578709134976
22.37,1.743632700550808
22.38,1.76884013738381
22.39,1.7775977308633548
22.400000000000002,1.7824570505572421
22.41,1.7514519928797614
22.42,1.7966114046692054
22.43,1.8559324545282359
22.44,1.8276792688531924
22.45,1.9419334369908134
22.46,1.8206032326523662
22.47,1.7929567157410626
22.48,1.7755104820475283
22.490000000000002,1.8382400243945176
22.5,1.8391579286772233
22.51,1.8399453088396247
22.52,1.7327323606541385
