t,S,I,R
9.179018718094444,365,73,62
9.213148556098725,365,72,63
9.216427149357083,365,71,64
9.226732379467837,364,72,64
9.291074312717779,364,71,65
9.370488472434433,364,70,66
9.371793847631043,364,69,67
9.380124191720103,364,68,68
9.383669345981716,363,69,68
9.383916147031643,362,70,68
9.38497318235582,361,71,68
9.411167520318031,360,72,68
9.45887505488392,359,73,68
9.48641674285936,359,72,69
9.523778060175976,358,73,69
9.535212496698694,357,74,69
9.613401753565757,356,75,69
9.648083574720705,355,76,69
9.653022969490166,355,75,70
9.65470135326747,354,76,70
9.697063415454705,353,77,70
9.728283583440579,352,78,70
9.785981119922939,351,79,70
9.792806612184167,350,80,70
9.809085695633165,350,79,71
9.836048888129815,349,80,71
9.857092050419366,348,81,71
9.890080006813417,347,82,71
9.906953547895291,347,81,72
9.983483040546767,346,82,72
9.987339755879661,345,83,72
10.04041823911779,344,84,72
10.045432799954947,344,83,73
10.075033914111323,343,84,73
10.077834727830059,343,83,74
10.084343188339282,343,82,75
10.08803245547497,342,83,75
10.136343644009735,341,84,75
10.159539427693364,340,85,75
10.163932705456446,339,86,75
10.199342975466243,338,87,75
10.288913028279467,338,86,76
10.302998312618254,337,87,76
10.323591742292649,336,88,76
10.329879125744808,335,89,76
10.35604670509577,335,88,77
10.377387523649995,335,87,78
10.40928972937579,334,88,78
10.412166478591445,333,89,78
10.477521647439577,333,88,79
10.509376612569556,333,87,80
10.568804537273031,332,88,80
10.58364811847654,331,89,80
10.584246379748139,331,88,81
10.608561760630412,330,89,81
10.61068720021515,329,90,81
10.610833355391364,329,89,82
10.638053076386917,328,90,82
10.670421323668506,328,89,83
10.67875751476012,328,88,84
10.679930703229806,327,89,84
10.703730338783869,326,90,84
10.711149856607177,326,89,85
10.844196356187625,326,88,86
10.859151345908714,326,87,87
10.883407283145928,326,86,88
10.89043138225539,325,87,88
10.929952466422822,325,86,89
10.931377597301102,324,87,89
10.997818028830867,324,86,90
11.011566824876509,323,87,90
11.02883600801081,323,86,91
11.036100717138353,323,85,92
11.042991766798801,322,86,92
11.046623593678468,322,85,93
11.092962581617103,322,84,94
11.103491196107951,321,85,94
11.168357055371468,321,84,95
11.183060940871082,320,85,95
11.208220051255186,319,86,95
11.233274400773459,319,85,96
11.26058957932158,319,84,97
11.274593816751421,319,83,98
11.29931600054641,318,84,98
11.311566771480708,318,83,99
11.312273999805543,317,84,99
11.319297878784745,317,83,100
11.34824260388865,316,84,100
11.382716226227963,315,85,100
11.439667559727926,314,86,100
11.45725476489907,313,87,100
11.458386647381314,312,88,100
11.476024801581653,311,89,100
11.561534364888837,310,90,100
11.597378707215439,310,89,101
11.621571483738249,309,90,101
11.65414663289823,308,91,101
11.708280573954223,307,92,101
11.712355008871954,306,93,101
11.736216777360871,305,94,101
11.763055682506543,304,95,101
11.769977351309835,303,96,101
11.820803102437438,302,97,101
11.828034370063012,302,96,102
11.872789010213928,302,95,103
11.886073673083532,302,94,104
11.902778669955909,301,95,104
11.941154944939749,301,94,105
11.947899920395514,300,95,105
11.954537244967273,300,94,106
11.965652784061485,299,95,106
11.970931065615055,299,94,107
11.995012368939621,299,93,108
12.014203723194486,299,92,109
12.033368756833081,298,93,109
12.100606904831917,297,94,109
12.102635851056641,297,93,110
12.128205220760828,296,94,110
12.13644782870967,295,95,110
12.18068654868554,294,96,110
12.20601960931291,294,95,111
12.292208135053155,293,96,111
12.295430604039243,292,97,111
12.299143733723055,291,98,111
12.320343383799749,290,99,111
12.32402356597692,290,98,112
12.3593612469979,290,97,113
12.424047507346444,289,98,113
12.441281171864937,289,97,114
12.466708719005174,288,98,114
12.470146543414018,287,99,114
12.483915715900359,287,98,115
12.48812812193892,287,97,116
12.566665416034256,286,98,116
12.570882471659775,285,99,116
12.622065082848508,284,100,116
12.62222524647308,283,101,116
12.630336117520384,283,100,117
12.640945112193993,283,99,118
12.684625176130812,283,98,119
12.694433750521666,282,99,119
12.695578128610371,281,100,119
12.708371763409978,280,101,119
12.710347978085833,280,100,120
12.719677950696598,279,101,120
12.722488271022709,278,102,120
12.729331039805244,278,101,121
12.75318673107115,277,102,121
12.767073395269605,276,103,121
12.776683268821305,276,102,122
12.810169138510586,275,103,122
12.812398593376866,274,104,122
12.835747142727477,273,105,122
12.838008089165367,272,106,122
12.90423664069722,271,107,122
12.9068239516572,270,108,122
12.956876629615326,269,109,122
12.963595784458205,268,110,122
13.023104099537532,268,109,123
13.045205282407043,268,108,124
13.09984269197983,268,107,125
13.113104327226123,267,108,125
13.117872500815748,267,107,126
13.167003679940255,266,108,126
13.17293147726807,265,109,126
13.20388443916046,264,110,126
13.208288033723896,264,109,127
13.223987703365154,263,110,127
13.245450060499175,263,109,128
13.260176044560081,263,108,129
13.261634984294155,263,107,130
13.264531024993488,262,108,130
13.338174795095817,261,109,130
13.375121384681291,260,110,130
13.3754949743227,260,109,131
13.390858568162004,260,108,132
13.410961566355105,260,107,133
13.414578276470525,259,108,133
13.465423155119089,259,107,134
13.480076800871334,259,106,135
13.49157119625778,259,105,136
13.50449794767656,258,106,136
13.509978482958322,257,107,136
13.521067879111598,257,106,137
13.598209434754526,256,107,137
13.607015570765418,255,108,137
13.615803592960301,255,107,138
13.651415406117627,255,106,139
13.672921897414392,255,105,140
13.695853488586089,254,106,140
13.71765745376737,253,107,140
13.753558106728038,253,106,141
13.754991037513774,252,107,141
13.756818147148417,251,108,141
13.791575709649182,251,107,142
13.794784697567538,250,108,142
13.813674704294371,249,109,142
13.831024931208924,249,108,143
13.869621207261869,249,107,144
13.904801586498847,248,108,144
13.917933691637616,248,107,145
13.93524537455293,248,106,146
14.006360510689618,248,105,147
14.007786367950724,248,104,148
14.021164980313483,247,105,148
14.037552689809774,247,104,149
14.045198119983247,246,105,149
14.056062524845647,246,104,150
14.056310460068437,245,105,150
14.069693101783937,244,106,150
14.10773072033593,244,105,151
14.143793459692455,243,106,151
14.15094873177243,242,107,151
14.160508215101787,241,108,151
14.161031178859398,240,109,151
14.190229960230502,240,108,152
14.199251796419423,240,107,153
14.231360850430024,239,108,153
14.24518162464364,238,109,153
14.246329774991436,237,110,153
14.292614085336336,236,111,153
14.305196093107769,235,112,153
14.325981160155356,235,111,154
14.327753753153559,235,110,155
14.38275716155037,234,111,155
14.38769897393949,233,112,155
14.388171660066362,233,111,156
14.405043839362643,233,110,157
14.40518852657145,233,109,158
14.405527647707412,232,110,158
14.414448175605054,231,111,158
14.428522814536802,230,112,158
14.431850226801423,230,111,159
14.451727665808253,230,110,160
14.460020434721141,230,109,161
14.474735009660876,229,110,161
14.512853487162399,228,111,161
14.522618924803915,227,112,161
14.525251552533213,227,111,162
14.534449789289864,227,110,163
14.589173375942632,227,109,164
14.599791051393533,226,110,164
14.60619319159341,226,109,165
14.625100228771881,225,110,165
14.65221021858258,225,109,166
14.66077917112585,225,108,167
14.665700811977915,224,109,167
14.712195494703625,223,110,167
14.720662127033613,223,109,168
14.72572835795025,222,110,168
14.740062095229318,221,111,168
14.741697048037667,221,110,169
14.766245727732535,220,111,169
14.79010241036917,219,112,169
